ticket_id,description,category,severity,resolution,resolution_cluster,user_tier,department,auto_resolved,verified,created_at
INC-10000,vpn disconnects every 30 minutes need this fixed today,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,Logistics,True,True,2026-01-16T00:00:00Z
INC-10001,printer driver update broke printing for all windows 10 machines,Printer Issues,P2,Reinstall or update printer driver,printer_driver_install,standard,IT,False,True,2025-01-11T00:00:00Z
INC-10002,SAP password never expires setting incorrectly applied to my account!!,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Marketing,True,True,2025-10-28T00:00:00Z
INC-10003,printer connected but only some computers can print,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,Logistics,False,True,2025-09-01T00:00:00Z
INC-10004,SAP logon pad not connecting to correct server need this fixed today,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Finance,True,True,2025-09-25T00:00:00Z
INC-10005,email stuck in outbox not sending,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,Engineering,True,True,2025-03-18T00:00:00Z
INC-10006,printer not connecting after network change,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,IT,True,True,2025-06-01T00:00:00Z
INC-10007,vpn client crashed after windows update,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,Engineering,True,True,2025-11-08T00:00:00Z
INC-10008,citrix workspace not launching applications need this fixed today this is urgent,Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Legal,True,True,2025-03-24T00:00:00Z
INC-10009,cant map network drive access denied,Permissions/Access,P3,Grant folder/share access permissions in AD,permission_folder,standard,Marketing,True,True,2025-10-03T00:00:00Z
INC-10010,no internet access at my workstation plz help this is urgent,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,HR,True,True,2025-04-05T00:00:00Z
INC-10011,entire warehouse network down barcode scanners offline,Network/Connectivity,P1,Enable network port on switch for user device,network_port_enable,standard,IT,False,True,2025-05-30T00:00:00Z
INC-10012,SAP completely unresponsive since 9am need this fixed today,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Engineering,True,True,2025-02-08T00:00:00Z
INC-10013,cant connect to wifi in meeting room this is urgent,Network/Connectivity,P3,Update network adapter driver,network_driver_update,standard,Procurement,True,True,2025-04-06T00:00:00Z
